snopes,fake_news
http://www.snopes.com/hillary-clinton-secret-earpiece/,http://www.infowars.com/was-hillary-wearing-an-earpiece-during-last-nights-presidential-forum/
http://www.snopes.com/dnc-hiring-actors-via-craigslist-to-replace-delegates/,http://www.infowars.com/bernie-delegate-dnc-is-replacing-sanders-supporters-with-paid-seat-fillers-to-create-fake-unity/
http://www.snopes.com/black-protesters-targeted-whites-in-milwaukee/,http://www.infowars.com/video-black-lives-matter-rioters-target-whites-for-beat-downs/
http://www.snopes.com/clinton-compliant-citizenry/,http://www.infowars.com/clinton-campaign-email-outlines-effort-to-produce-an-unaware-and-compliant-citizenry/
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,http://www.dcclothesline.com/2016/07/06/hacked-messages-of-blacklivesmatter-leader-reveal-obama-admins-plan-for-summer-of-chaos-and-martial-law/
http://www.snopes.com/black-lives-matter-protesters-chant-for-dead-cops-now-in-baton-rouge/,http://www.infowars.com/black-lives-matter-supporters-islamists-celebrate-murder-of-baton-rouge-cops/
http://www.snopes.com/tim-kaine-white-people-minority/,http://www.infowars.com/hillarys-vp-whites-must-become-a-minority-to-atone-for-racism/
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/secret-service-leaks-hillarys-health-to-press/
http://www.snopes.com/google-manipulate-hillary-clinton/,http://www.infowars.com/google-hides-clinton-body-count-search-suggestions/
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/secret-service-whistleblower-hillary-has-major-neurological-problems/
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/dr-drew-gravely-concerned-about-hillary-clintons-health/
http://www.snopes.com/seth-conrad-rich/,http://www.infowars.com/democratic-crisis-communications-pr-agent-hired-to-shut-down-seth-rich-conspiracy-theories/
http://www.snopes.com/bill-clinton-illegitimate-son/,http://www.infowars.com/banished-the-untold-story-of-danney-williams-search-for-his-father/
http://www.snopes.com/three-syrian-refugees-assault-5-year-old-girl-at-knifepoint/,http://www.infowars.com/report-three-syrian-refugees-rape-little-girl-at-knifepoint-in-idaho/
http://www.snopes.com/khizr-khan-375000-clinton-foundation/,http://govtslaves.info/375000-deposited-to-the-khan-law-account-from-the-clinton-foundation/
http://www.snopes.com/clinton-secret-earpiece-debate/,http://www.infowars.com/photos-whats-that-under-hillarys-pantsuit-during-last-nights-debate/
http://www.snopes.com/2016/08/10/4th-mysterious-death-connected-to-the-dnc/,http://www.infowars.com/hillary-clinton-please-stop-killing-people/
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/top-doctor-concerns-over-hillarys-health-not-a-conspiracy-theory/
http://www.snopes.com/debate-secret-hand-signals/,http://www.infowars.com/world-champion-poker-player-clinton-secretly-signaled-moderator-during-debate/
http://www.snopes.com/khizr-khan-is-a-muslim-brotherhood-agent/,http://www.infowars.com/what-the-media-isnt-reporting-about-khizr-khan/
