snopes,fake_news,is_matched
http://www.snopes.com/politics/satire/solarpanels.asp,http://nationalreport.net/solar-panels-drain-suns-energy-experts-say/,t
http://www.snopes.com/computer/facebook/fbcharge.asp,http://weeklyworldnews.com/headlines/28511/facebook-to-charge/,t
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,http://www.dcclothesline.com/2016/06/12/conservative-republicans-plan-coup-to-strip-nomination-from-trump/,u
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,https://www.intellihub.com/operation-summer-of-chaos-obama-admin-black-lives-matter-plan/,t
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,http://www.dcclothesline.com/2016/07/06/hacked-messages-of-blacklivesmatter-leader-reveal-obama-admins-plan-for-summer-of-chaos-and-martial-law/,t
http://www.snopes.com/media/notnews/antpoison.asp,http://www.thespoof.com/spoof-news/science-technology/11213/fda-certifies-aspartame-as-ant-poison,t
http://www.snopes.com/mike-pence-allowing-rape-victims-to-have-abortions-will-lead-to-women-trying-to-get-raped/,http://politicops.com/mike-pence-allowing-rape-victims-abortions-will-lead-women-trying-get-raped/,t
http://www.snopes.com/politics/satire/coulter.asp,http://dailycurrant.com/2013/01/29/ann-coulter-refuses-board-airplane-black-pilot/,t
http://www.snopes.com/politics/satire/absentee.asp,http://www.duffelblog.com/2012/11/military-absentee-ballots-delivered-one-day-late-would-have-swung-election-for-romney/,t
http://www.snopes.com/media/notnews/obamabirth.asp,http://americannews.com/breaking-kenyan-government-releases-obamas-real-birth-certificate/,t
http://www.snopes.com/politics/satire/studentloan.asp,http://empirenews.net/obama-signs-bill-forgiving-all-student-loan-debt/,t
http://www.snopes.com/inboxer/hoaxes/chumlee.asp,http://chronicle.su/2013/03/29/chumlee-of-pawn-stars-arrested-with-seven-pounds-of-marijuana/,u
http://www.snopes.com/inboxer/hoaxes/chumlee.asp,http://chronicle.su/2013/05/14/chumlee-of-pawn-stars-fame-dead/,t
http://www.snopes.com/inboxer/hoaxes/chumlee.asp,http://chronicle.su/2013/03/20/ron-jeremy-dead-at-59/,u
http://www.snopes.com/inboxer/hoaxes/chumlee.asp,http://chronicle.su/2013/03/07/justin-bieber-dead-at-19/,u
http://www.snopes.com/inboxer/hoaxes/chumlee.asp,http://chronicle.su/2013/04/17/amanda-bynes-dead-at-27/,u
http://www.snopes.com/pat-robertson-melania-nude-pics/,http://politicops.com/pat-robertson-melanias-nude-pics-pure-art-shows-beauty-gods-work/,t
http://www.snopes.com/obama-veterans-money-to-syria/,http://www.redflagnews.com/headlines-2016/obama-cuts-26-billion-from-veterans-while-allocating-45-billion-to-syrian-migrants-moving-to-america,t
http://www.snopes.com/pokemon-in-pokemon-go-will-scream-if-within-a-mile-of-a-sex-offender/,http://www.clickhole.com/article/gaming-safety-ftw-pokemon-pokemon-go-will-now-scre-4691,t
http://www.snopes.com/snowden-bin-laden-alive/,http://worldnewsdailyreport.com/bin-laden-is-alive-and-well-in-the-bahamas-says-edward-snowden/,t
http://www.snopes.com/4-year-old-boy-accused-of-hacking-fbi-database/,http://worldnewsdailyreport.com/usa-4-year-old-boy-accused-of-hacking-fbi-database/,t
http://www.snopes.com/black-protesters-targeted-whites-in-milwaukee/,http://www.infowars.com/video-black-lives-matter-rioters-target-whites-for-beat-downs/,t
http://www.snopes.com/police-shoot-department-store-mannequin-67-times-after-mistaking-it-for-gunman/,http://realnewsrightnow.com/2016/08/police-shoot-department-store-mannequin-67-times-mistaking-gunman/,t
http://www.snopes.com/human-sacrifice-captured-at-cern/,http://worldtruth.tv/murder-at-cern-disturbing-human-sacrifice-video-surfaces/,t
http://www.snopes.com/politics/medical/pepsi.asp,http://www.naturalnews.com/049367_aborted_babies_flavor_chemicals_food_corporations.html,t
http://www.snopes.com/mark-zuckerberg-is-david-rockefellers-grandson/,http://humansarefree.com/2014/10/exposing-shadow-forces-behind-nwo.html,u
http://www.snopes.com/army-memo-announces-martial-law/,https://www.redflagnews.com/headlines-2016/us-army-preparing-for-martial-law-take-a-look-at-this-document,t
http://www.snopes.com/neil-degrasse-tyson-girl-on-jupiter/,http://www.clickhole.com/article/awesome-when-little-girl-told-neil-degrasse-tyson--3565,t
http://www.snopes.com/michele-bachmann-white-people-suffered-more-under-obama-than-blacks-during-slavery/,http://politicops.com/bachmann-white-people-suffered-last-8-years-blacks-couple-years-slavery/,t
