snopes,fake_news,is_matched
http://www.snopes.com/2016/07/11/anonymous-day-of-rage-protests-2016/,https://www.lewrockwell.com/2016/07/daisy-luther/day-rage-scheduled-july-15th/,t
http://www.snopes.com/2016/07/11/anonymous-day-of-rage-protests-2016/,http://thedcgazette.com/2016/report-day-rage-protests-planned-cities/,t
http://www.snopes.com/2016/07/11/anonymous-day-of-rage-protests-2016/,http://www.dcclothesline.com/2016/07/12/day-of-rage-protests-are-scheduled-for-july-15th-in-these-american-cities/,t
http://www.snopes.com/anti-trump-protesters-block-ambulance/,http://www.infowars.com/report-anti-trump-protesters-block-ambulance-father-of-4-year-old-girl-dies/,t
http://www.snopes.com/anti-trump-protesters-bused-into-austin/,http://www.infowars.com/blocks-of-anti-trump-protest-buses-caught-on-tape/,u
http://www.snopes.com/apa-belief-mental-illness/,http://www.thenewsnerd.com/health/apa-to-classify-belief-in-god-as-a-mental-illness/,t
http://www.snopes.com/bill-clinton-illegitimate-son/,http://www.infowars.com/banished-the-untold-story-of-danney-williams-search-for-his-father/,t
http://www.snopes.com/cdc-forced-vaccinations/,http://www.redflagnews.com/headlines-2016/cdc-proposes-rule-to-apprehend-and-detain-anyone-anywhere-at-any-time-for-any-duration-without-due-process-or-right-of-appeal-and-administer-forced-vaccinations,t
http://www.snopes.com/colin-kaepernick-converts-to-islam/,http://www.infowars.com/colin-kaepernick-converted-to-islam-before-his-anti-american-stance-coincidence/,t
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,http://www.dcclothesline.com/2016/07/06/hacked-messages-of-blacklivesmatter-leader-reveal-obama-admins-plan-for-summer-of-chaos-and-martial-law/,t
http://www.snopes.com/did-donald-trump-appoint-sarah-palin-as-a-science-advisor/,http://worldnewsdailyreport.com/sarah-palin-appointed-as-science-and-technology-adviser-promises-to-get-rid-of-climate-change-hysteria/,t
http://www.snopes.com/dnc-hiring-actors-via-craigslist-to-replace-delegates/,http://www.infowars.com/bernie-delegate-dnc-is-replacing-sanders-supporters-with-paid-seat-fillers-to-create-fake-unity/,t
http://www.snopes.com/edward-snowden-said-russia-successfully-rigged-u-s-elections-in-favor-of-trump/,http://worldnewsdailyreport.com/snowden-russia-successfully-rigged-us-elections-in-favor-of-trump/,t
http://www.snopes.com/fbi-agent-murder-suicide/,http://worldtruth.tv/fbi-agent-suspected-in-hillary-email-leaks-found-dead-in-apparent-murder-suicide/,t
http://www.snopes.com/food-stamps-rfid-mandatory/,http://worldtruth.tv/food-stamp-welfare-individuals-must-be-rfid-chipped-2/,t
http://www.snopes.com/hillary-clinton-sat-monsanto-board/,http://www.naturalnews.com/Clinton-Foundation-Donors-State.html#,f
http://www.snopes.com/hillary-clinton-secret-earpiece/,http://www.infowars.com/was-hillary-wearing-an-earpiece-during-last-nights-presidential-forum/,t
http://www.snopes.com/irish-slaves-early-america/,http://www.globalresearch.ca/the-irish-slave-trade-the-forgotten-white-slaves/31076,t
http://www.snopes.com/khizr-khan-375000-clinton-foundation/,http://www.govtslaves.info/375000-deposited-to-the-khan-law-account-from-the-clinton-foundation/,t
http://www.snopes.com/khizr-khan-375000-clinton-foundation/,http://www.govtslaves.info/100-proof-orlando-shooting-was-a-staged-hoax-this-is-all-you-need-to-see/,u
