fact_checking_canonical,claim_canonical,is_matched
http://www.snopes.com/1998-trump-people-quote/,http://www.veteranstoday.com/2012/01/17/iran-signs-own-death-warrant/president/,f
http://www.snopes.com/2016/06/23/donald-trump-rape-lawsuit/,http://www.redflagnews.com/headlines-2016/alert-us-base-in-turkey-under-seige-obama-nowhere-to-be-found-and-mainstream-media-silent,f
http://www.snopes.com/2016/06/23/donald-trump-rape-lawsuit/,http://www.globalresearch.ca/katie-johnson-v-donald-j-trump-and-jeffrey-e-epstein-trump-child-rape-claim-for-100-million-denied-by-trump-attorney/5534676,t
http://www.snopes.com/2016/06/23/donald-trump-rape-lawsuit/,http://www.infowars.com/busted-armed-state-trooper-guards-election-fraud-mastermind/,f
http://www.snopes.com/2016/06/23/donald-trump-rape-lawsuit/,http://www.infowars.com/trump-hillary-wants-to-be-americas-angela-merkel/,f
http://www.snopes.com/2016/06/30/concealed-carrier-prevents-mass-shooting-at-south-carolina-nightclub/,http://www.dcclothesline.com/2016/07/01/media-silent-as-concealed-carrier-stops-mass-shooting-in-progress-at-a-south-carolina-nightclub/,t
http://www.snopes.com/2016/07/11/anonymous-day-of-rage-protests-2016/,http://www.dcclothesline.com/2016/07/12/day-of-rage-protests-are-scheduled-for-july-15th-in-these-american-cities/,t
http://www.snopes.com/2016/07/11/anonymous-day-of-rage-protests-2016/,https://www.intellihub.com/day-of-rage-protests-are-scheduled-for-july-15th-in-these-american-cities/,t
http://www.snopes.com/2016/08/03/khizr-khans-connections/,http://beforeitsnews.com/alternative/2016/08/busted-khan-paid-375000-from-clinton-foundation-corruption-reigns-3394680.html,t
http://www.snopes.com/2016/08/03/obama-bribed-iran-400-million-to-release-u-s-prisoners/,http://www.infowars.com/insane-state-department-blames-media-for-its-own-lies-and-deception-over-400-million-iran-deal/,t
http://www.snopes.com/2016/08/09/politics-sites-mismatched-clinton-rally-image-goes-viral/,http://www.infowars.com/media-photoshops-hillary-crowd-to-make-her-audience-look-bigger/,t
http://www.snopes.com/2016/08/18/dr-drew-hillary-clinton-health/,http://www.infowars.com/radiologist-hillary-clinton-has-a-serious-underlying-disease/,t
http://www.snopes.com/2016/10/18/project-veritas-election-videos/,http://www.infowars.com/trump-warns-of-vote-flipping-on-machines/,f
